height_cm,weight_kg,age,gender,activity_level,goal
164,69.2,27,male,very_active,gain
190,87.0,28,female,active,gain
168,84.3,27,female,very_active,maintain
162,53.7,29,male,light,cut
176,72.4,14,male,sedentary,maintain
173,70.1,22,male,active,maintain
154,61.6,14,female,light,gain
165,61.8,17,male,active,gain
184,74.4,13,female,very_active,gain
161,54.5,17,female,active,maintain
167,58.9,14,male,very_active,cut
165,52.2,19,female,light,gain
149,43.2,16,female,very_active,gain
170,70.0,25,male,sedentary,gain
186,66.5,26,female,very_active,gain
192,90.7,27,male,active,cut
164,69.6,23,female,light,maintain
194,109.7,23,female,active,gain
158,58.3,22,male,sedentary,cut
178,77.4,29,female,light,cut
158,52.4,30,male,moderate,cut
182,84.5,19,female,very_active,gain
175,61.2,20,female,light,gain
185,78.3,14,male,moderate,maintain
156,49.3,25,male,sedentary,maintain
171,64.2,30,male,active,maintain
141,48.1,13,female,sedentary,cut
160,59.6,13,male,very_active,cut
185,66.5,15,female,sedentary,maintain
178,88.2,23,male,active,maintain
153,42.0,17,female,sedentary,cut
151,61.4,18,male,moderate,cut
153,62.9,27,male,moderate,cut
171,68.8,20,male,very_active,gain
173,87.0,26,female,very_active,maintain
149,37.3,16,female,very_active,cut
160,63.1,16,female,very_active,maintain
186,86.4,19,male,very_active,cut
185,78.9,18,male,moderate,maintain
161,52.2,15,female,moderate,cut
181,71.4,18,male,moderate,maintain
167,77.3,30,male,sedentary,maintain
188,104.4,24,female,sedentary,cut
150,65.5,21,female,light,cut
154,44.1,17,male,moderate,gain
159,70.1,22,male,active,maintain
177,76.2,13,female,light,gain
164,70.4,21,female,very_active,gain
183,55.3,16,female,active,maintain
195,76.1,19,female,light,gain
182,93.9,21,female,active,maintain
160,53.8,26,male,sedentary,gain
173,61.1,26,male,active,gain
156,71.1,20,female,active,gain
188,86.3,20,male,very_active,cut
193,82.6,23,male,sedentary,cut
176,92.3,25,female,active,maintain
173,78.5,22,male,very_active,maintain
184,96.7,25,female,moderate,cut
179,70.4,22,male,moderate,maintain
154,47.1,17,female,active,maintain
150,45.9,30,female,moderate,cut
163,56.5,24,male,light,cut
177,77.1,30,female,sedentary,cut
189,61.1,15,male,sedentary,cut
180,75.1,26,male,active,maintain
161,66.3,19,male,sedentary,maintain
152,64.7,26,female,moderate,cut
171,79.6,27,male,very_active,gain
188,77.1,21,male,very_active,cut
162,71.7,19,male,active,maintain
194,91.1,19,female,light,maintain
190,83.6,18,female,sedentary,gain
192,80.8,23,male,moderate,maintain
181,88.8,18,male,very_active,maintain
181,67.1,13,female,very_active,maintain
160,55.8,26,female,light,cut
150,56.3,21,male,light,cut
167,75.9,20,male,light,cut
163,46.6,13,male,very_active,cut
182,81.8,15,female,sedentary,maintain
163,73.9,21,male,light,maintain
178,77.4,26,male,very_active,maintain
161,58.6,20,male,very_active,gain
190,93.4,13,female,active,maintain
183,79.5,23,male,active,cut
151,68.1,23,female,sedentary,maintain
145,51.2,15,female,active,cut
188,91.0,27,female,moderate,cut
151,60.4,25,male,moderate,cut
192,91.5,18,male,very_active,gain
179,62.9,19,female,sedentary,gain
165,73.9,24,female,very_active,gain
178,79.1,30,male,sedentary,cut
154,57.4,14,female,very_active,gain
150,52.3,18,male,light,cut
188,104.4,26,female,moderate,maintain
159,50.9,20,female,very_active,cut
179,75.5,29,female,sedentary,cut
190,74.3,30,male,very_active,cut
160,57.8,22,male,very_active,cut
166,59.5,22,female,active,maintain
169,61.9,28,male,moderate,cut
172,79.7,23,female,light,maintain
174,66.0,18,male,moderate,gain
185,65.9,19,female,moderate,gain
195,88.3,23,male,light,maintain
175,64.7,15,female,sedentary,maintain
174,59.8,21,female,light,maintain
165,62.6,15,male,sedentary,gain
164,74.5,29,female,very_active,gain
162,45.2,13,female,active,gain
168,58.5,18,male,light,maintain
163,62.6,24,male,very_active,gain
177,84.0,24,male,very_active,maintain
168,77.7,21,female,moderate,maintain
189,87.4,25,female,sedentary,maintain
187,63.4,17,male,very_active,cut
186,67.1,13,female,light,maintain
174,83.5,20,male,light,maintain
174,68.8,20,male,very_active,gain
168,84.5,28,female,active,maintain
181,65.8,19,male,sedentary,gain
172,62.2,30,male,very_active,gain
159,59.4,29,male,sedentary,cut
171,55.1,16,female,moderate,maintain
152,60.7,28,female,very_active,gain
168,63.2,16,female,very_active,maintain
153,53.6,21,male,moderate,maintain
159,64.6,28,male,sedentary,gain
179,64.1,14,female,sedentary,maintain
140,42.0,15,female,active,cut
189,75.2,15,male,light,cut
153,54.8,13,female,very_active,gain
153,55.0,21,male,light,gain
190,92.9,16,male,sedentary,cut
187,71.3,22,male,very_active,gain
179,86.0,21,female,moderate,gain
192,79.3,22,male,moderate,maintain
167,62.5,17,male,sedentary,gain
156,59.5,30,male,active,gain
179,81.6,19,male,active,maintain
151,57.0,23,female,light,cut
177,74.2,13,female,sedentary,gain
155,57.3,17,male,moderate,cut
163,73.1,24,female,sedentary,cut
181,82.8,17,male,very_active,gain
153,45.7,16,female,sedentary,cut
161,51.0,28,female,very_active,maintain
174,61.1,21,female,moderate,gain
172,71.6,17,female,active,cut
153,46.2,23,female,moderate,cut
140,38.5,15,male,sedentary,maintain
187,93.5,24,male,active,cut
193,104.7,18,female,moderate,gain
173,73.5,25,female,light,cut
162,64.5,23,female,very_active,cut
174,88.2,24,female,very_active,cut
178,55.8,16,female,sedentary,gain
178,79.3,15,female,sedentary,cut
166,71.0,18,female,light,maintain
189,90.6,24,male,sedentary,maintain
157,64.2,18,male,very_active,cut
161,54.4,16,male,light,maintain
188,75.1,29,female,sedentary,cut
171,75.0,16,female,light,maintain
171,74.1,30,female,moderate,cut
192,96.7,27,male,moderate,cut
191,91.3,24,female,active,gain
189,84.4,23,female,very_active,gain
177,84.5,20,female,sedentary,cut
177,67.1,29,male,moderate,cut
194,80.3,19,male,sedentary,cut
175,84.2,23,female,active,cut
161,60.9,25,male,sedentary,cut
163,61.2,21,female,moderate,maintain
187,87.2,26,male,very_active,cut
191,71.1,25,female,very_active,maintain
180,67.3,22,male,sedentary,gain
154,48.2,13,male,very_active,maintain
154,49.5,29,male,light,maintain
174,68.8,24,male,sedentary,cut
188,75.5,18,male,light,maintain
186,83.4,29,female,moderate,cut
143,42.8,16,female,sedentary,maintain
191,99.5,29,male,moderate,cut
194,90.5,19,female,light,maintain
176,68.3,21,male,sedentary,maintain
161,54.4,30,male,sedentary,maintain
156,57.9,29,female,moderate,gain
158,68.1,30,male,light,cut
193,94.1,18,male,sedentary,maintain
159,61.7,19,male,light,gain
175,82.6,29,female,moderate,maintain
164,53.8,15,female,active,gain
193,94.6,29,male,sedentary,gain
157,52.0,15,male,moderate,maintain
155,52.8,21,female,moderate,cut
163,77.9,19,female,sedentary,cut
190,72.7,25,female,moderate,gain
171,60.4,26,female,very_active,maintain
187,100.3,29,female,light,gain
194,80.3,25,male,light,maintain
165,65.6,22,male,very_active,cut
162,55.8,28,female,sedentary,maintain
154,58.6,30,male,very_active,maintain
169,58.6,23,male,light,gain
193,88.7,19,male,sedentary,maintain
159,51.8,17,male,moderate,maintain
183,88.6,22,male,active,gain
155,42.9,13,male,sedentary,gain
157,41.5,17,female,light,gain
149,47.0,15,male,moderate,maintain
162,58.4,18,male,light,maintain
183,85.4,28,male,active,maintain
167,75.7,28,female,very_active,cut
151,47.1,15,female,active,maintain
178,81.1,19,male,active,gain
189,73.6,23,female,light,maintain
170,64.5,13,male,sedentary,maintain
187,97.0,27,male,very_active,cut
180,95.4,30,female,active,gain
159,60.9,29,female,light,gain
165,64.3,27,male,active,maintain
191,79.5,22,male,light,maintain
177,74.8,25,male,active,cut
180,86.0,29,male,light,maintain
188,77.2,25,male,sedentary,maintain
171,66.3,24,male,very_active,gain
156,61.5,25,male,sedentary,cut
150,62.7,27,male,light,cut
161,54.7,18,female,sedentary,cut
189,89.9,23,male,sedentary,cut
158,54.2,20,male,moderate,gain
178,80.6,13,female,light,cut
150,50.1,24,female,light,maintain
193,78.5,19,female,light,maintain
150,62.3,23,female,moderate,cut
193,97.4,23,female,moderate,cut
177,80.0,27,male,moderate,gain
185,84.6,25,male,moderate,cut
152,64.6,19,male,sedentary,maintain
181,59.9,16,male,light,maintain
181,83.7,29,female,very_active,maintain
162,43.4,15,female,moderate,gain
169,55.5,16,female,moderate,cut
157,51.0,25,male,very_active,gain
192,108.7,23,female,light,maintain
170,75.8,20,female,very_active,maintain
176,62.0,28,male,active,cut
181,57.4,16,female,active,cut
191,92.1,25,female,very_active,cut
182,80.2,20,male,moderate,maintain
159,53.1,18,female,sedentary,maintain
184,85.1,17,male,sedentary,maintain
175,90.1,21,female,sedentary,cut
149,48.9,16,male,moderate,gain
152,61.1,26,female,light,maintain
195,79.4,21,male,light,cut
175,73.0,17,male,very_active,cut
153,53.5,30,male,active,gain
154,70.4,24,female,sedentary,gain
173,55.2,17,male,moderate,cut
190,88.6,28,male,active,cut
186,60.4,14,female,moderate,cut
165,53.7,22,female,light,maintain
150,52.3,17,male,sedentary,maintain
158,48.3,17,female,active,gain
184,94.7,27,female,active,gain
177,86.9,28,female,sedentary,maintain
151,50.8,20,female,moderate,maintain
149,49.7,13,male,active,gain
178,69.3,15,female,very_active,gain
195,98.9,18,female,moderate,gain
162,64.4,14,male,moderate,cut
158,62.9,17,female,sedentary,gain
185,87.3,29,male,very_active,gain
162,55.4,29,female,active,maintain
190,86.8,24,male,active,gain
171,66.6,23,male,light,cut
158,69.6,19,female,active,maintain
188,93.0,24,female,very_active,maintain
177,75.8,23,male,active,maintain
174,60.2,17,female,active,cut
172,63.5,21,female,moderate,cut
171,68.7,15,male,sedentary,cut
186,76.2,16,female,active,gain
182,76.9,29,male,active,maintain
153,58.5,22,male,moderate,maintain
159,70.3,30,male,sedentary,maintain
174,64.3,27,male,light,maintain
191,107.2,22,female,moderate,maintain
173,71.3,18,female,very_active,gain
156,50.5,26,male,moderate,gain
183,84.0,26,male,light,gain
170,66.1,20,male,active,maintain
172,79.8,19,male,active,gain
155,53.3,27,male,moderate,cut
174,90.6,27,female,light,cut
149,38.1,15,male,very_active,gain
186,70.5,15,male,moderate,gain
169,61.5,17,male,sedentary,gain
167,59.6,22,female,very_active,maintain
189,91.8,18,female,moderate,cut
190,76.6,13,female,active,gain
165,52.8,15,female,light,gain
147,50.5,15,female,moderate,gain
191,77.7,20,female,very_active,maintain
170,64.1,24,female,very_active,cut
148,41.9,14,female,sedentary,cut
157,48.8,18,female,very_active,gain
168,74.5,23,female,sedentary,maintain
193,89.1,21,female,sedentary,gain
186,79.6,18,male,sedentary,maintain
170,62.9,13,male,active,cut
174,66.8,24,female,light,gain
173,80.1,28,female,sedentary,maintain
150,56.1,20,male,moderate,gain
190,92.7,27,male,sedentary,gain
151,38.9,17,female,active,gain
152,53.0,21,male,sedentary,maintain
142,40.0,16,male,active,maintain
171,74.6,21,male,moderate,cut
161,72.0,29,male,moderate,cut
190,74.7,24,female,moderate,maintain
192,108.9,18,female,sedentary,gain
176,92.2,24,female,light,maintain
179,73.5,22,female,sedentary,maintain
157,61.1,30,male,sedentary,cut
188,80.3,16,male,active,maintain
191,74.2,28,female,active,cut
170,82.8,24,female,moderate,gain
187,66.9,14,male,light,gain
176,91.5,20,female,active,cut
160,52.6,25,female,moderate,cut
151,62.5,18,male,sedentary,maintain
166,54.9,13,male,very_active,gain
173,68.0,27,male,active,gain
176,80.9,18,female,very_active,cut
186,83.0,29,male,sedentary,maintain
176,71.1,25,male,sedentary,maintain
148,50.8,15,female,sedentary,cut
155,60.5,17,male,sedentary,maintain
184,91.7,20,male,sedentary,gain
185,98.7,25,female,moderate,maintain
195,90.1,27,female,active,cut
150,58.6,19,female,sedentary,cut
156,67.0,18,male,moderate,cut
171,66.4,21,male,active,maintain
157,47.9,24,female,very_active,cut
165,78.6,28,female,very_active,maintain
175,54.2,16,female,sedentary,maintain
173,85.4,21,female,light,cut
174,71.1,14,female,very_active,maintain
185,84.0,13,male,moderate,gain
176,69.0,25,female,light,maintain
183,91.3,21,male,sedentary,maintain
173,61.1,13,male,moderate,cut
181,88.1,24,female,light,gain
187,81.5,19,male,moderate,cut
190,96.0,30,female,moderate,cut
158,58.2,19,male,light,maintain
156,50.4,27,male,sedentary,cut
189,82.7,28,female,light,cut
164,56.2,22,female,very_active,gain
192,93.7,30,female,sedentary,gain
147,55.5,14,female,very_active,maintain
170,80.1,28,male,sedentary,gain
152,53.5,17,male,very_active,cut
173,55.7,16,male,very_active,cut
171,60.6,20,male,sedentary,cut
174,58.7,19,female,very_active,gain
185,88.9,28,female,moderate,maintain
167,60.7,19,male,light,cut
150,60.2,24,male,moderate,cut
151,51.6,21,male,light,gain
173,61.5,23,male,active,gain
183,70.0,18,female,sedentary,gain
188,74.1,26,female,light,gain
152,55.0,30,female,light,cut
193,85.4,21,male,light,gain
167,66.4,24,female,very_active,cut
179,81.3,13,male,sedentary,maintain
190,81.0,16,male,light,cut
142,38.6,14,male,active,cut
193,80.0,18,male,very_active,cut
169,82.1,26,female,very_active,cut
190,74.3,20,female,active,cut
192,94.1,22,female,very_active,maintain
163,47.9,15,male,very_active,cut
156,52.4,26,female,sedentary,cut
159,52.3,25,male,moderate,gain
171,66.7,18,male,moderate,maintain
179,64.8,16,male,very_active,cut
162,53.2,21,male,light,gain
159,69.7,29,female,very_active,maintain
151,46.1,16,male,active,maintain
192,70.7,27,female,moderate,gain
168,61.8,18,female,very_active,gain
195,86.7,25,female,light,cut
153,55.2,21,female,active,maintain
161,53.7,13,female,sedentary,gain
172,66.5,27,male,sedentary,maintain
162,72.0,28,male,light,gain
158,53.3,15,male,moderate,gain
193,89.1,19,female,moderate,maintain
168,74.6,27,female,sedentary,maintain
190,76.0,17,female,moderate,gain
155,59.0,18,male,moderate,maintain
159,67.5,25,female,sedentary,cut
191,81.3,25,female,sedentary,maintain
158,56.0,17,female,light,maintain
140,46.4,17,female,active,cut
191,93.3,20,female,moderate,maintain
140,48.0,16,male,very_active,gain
157,45.1,17,male,moderate,cut
167,76.3,20,male,very_active,cut
164,50.3,14,female,moderate,maintain
192,108.2,30,female,sedentary,cut
151,57.6,18,female,sedentary,maintain
156,70.6,20,female,moderate,cut
195,92.9,29,female,light,maintain
183,83.1,24,male,moderate,gain
180,57.8,13,male,active,maintain
179,68.7,27,female,very_active,maintain
155,59.2,29,male,active,gain
140,40.4,15,male,sedentary,cut
141,49.5,14,male,light,maintain
163,61.5,22,female,light,cut
178,73.9,25,female,light,maintain
175,74.9,21,male,moderate,cut
189,76.5,13,male,light,maintain
165,62.4,30,female,sedentary,gain
170,67.8,25,male,light,cut
155,53.2,19,male,light,gain
165,68.8,17,male,very_active,cut
170,85.4,20,female,moderate,cut
155,60.8,19,male,light,cut
167,71.4,13,female,active,maintain
193,92.9,25,male,moderate,maintain
183,69.2,15,female,moderate,gain
167,69.6,20,male,active,maintain
166,64.6,14,male,light,gain
184,74.9,16,female,active,cut
183,82.6,27,female,moderate,maintain
164,60.1,15,male,very_active,cut
162,50.0,17,male,moderate,cut
170,71.2,14,male,sedentary,maintain
158,58.3,19,female,sedentary,cut
185,79.1,18,male,sedentary,maintain
176,89.5,29,female,moderate,cut
147,45.7,17,female,active,gain
181,77.6,25,male,light,gain
157,60.4,24,male,very_active,gain
140,34.8,13,female,very_active,gain
181,68.6,23,male,moderate,gain
172,69.6,16,female,active,gain
177,64.0,13,male,active,maintain
179,59.5,16,female,light,maintain
163,53.4,18,male,very_active,cut
155,64.2,20,male,very_active,cut
190,72.5,26,female,light,gain
164,59.7,20,male,moderate,gain
160,59.6,22,female,moderate,cut
164,64.1,24,female,light,cut
184,75.3,22,female,light,cut
170,66.3,13,female,sedentary,cut
172,62.2,13,female,sedentary,gain
175,78.2,30,male,moderate,gain
167,69.2,18,female,sedentary,cut
151,46.7,19,male,active,gain
174,73.6,29,male,very_active,gain
186,80.5,17,female,light,gain
189,74.6,13,female,very_active,cut
180,93.4,21,female,sedentary,maintain
184,89.4,19,female,very_active,maintain
184,88.7,26,female,very_active,gain
177,85.0,29,male,light,gain
143,36.4,14,male,moderate,cut
186,73.4,25,male,active,maintain
170,69.5,13,male,very_active,gain
161,61.7,27,female,light,maintain
160,50.4,13,male,moderate,cut
167,57.9,20,female,sedentary,cut
187,60.7,15,female,active,cut
176,81.9,20,male,very_active,gain
172,68.6,20,female,very_active,gain
187,86.6,21,male,moderate,gain
186,75.7,24,female,active,maintain
156,63.6,27,male,light,gain
192,79.4,26,male,very_active,gain
150,43.5,21,female,very_active,gain
163,54.7,26,male,sedentary,cut
180,85.2,27,male,sedentary,cut
155,40.2,15,female,sedentary,cut
180,66.0,19,female,very_active,maintain
145,41.1,13,male,sedentary,maintain
150,44.8,13,male,moderate,cut
163,66.0,18,female,light,cut
164,74.6,20,male,sedentary,gain
161,54.5,16,male,very_active,maintain
170,80.7,18,female,active,cut
152,48.9,19,male,very_active,maintain
159,71.0,24,female,sedentary,gain
178,74.3,16,male,very_active,maintain
180,58.9,14,female,active,cut
160,73.3,20,female,light,gain
154,52.5,22,female,active,maintain
189,80.6,26,male,light,gain
173,57.6,16,female,light,gain
187,74.2,15,female,light,cut
191,99.2,26,female,sedentary,maintain
169,57.4,18,female,active,maintain
195,88.4,22,female,very_active,maintain
173,87.1,24,female,light,maintain
195,82.9,23,male,active,maintain
186,77.0,17,male,light,cut
178,71.2,20,female,sedentary,maintain
158,56.6,25,male,sedentary,cut
180,65.4,14,female,light,cut
160,50.8,13,female,light,cut
144,50.8,15,female,moderate,maintain
166,61.3,16,male,active,gain
189,94.9,28,female,very_active,gain
164,64.3,28,male,sedentary,gain
169,63.2,19,male,light,gain
166,82.6,22,female,light,cut
171,60.5,14,female,sedentary,maintain
176,74.4,21,male,sedentary,gain
189,106.3,21,female,moderate,maintain
177,89.8,28,female,very_active,cut
194,98.3,26,female,sedentary,gain
194,100.1,30,female,active,gain
190,96.4,27,female,light,gain
179,82.6,17,female,very_active,cut
151,66.4,25,female,very_active,cut
169,61.3,16,female,active,maintain
157,72.5,30,female,light,gain
154,70.1,18,female,moderate,maintain
169,68.9,25,male,very_active,cut
170,74.5,28,male,very_active,gain
162,49.3,14,female,active,gain
173,74.0,19,male,active,maintain
150,52.4,20,female,very_active,gain
178,70.1,27,female,light,cut
160,57.9,29,male,moderate,gain
185,58.8,13,male,light,cut
161,66.4,14,female,very_active,maintain
161,59.8,26,male,active,cut
188,72.2,15,male,active,cut
160,58.8,16,male,moderate,gain
189,73.6,14,female,light,gain
166,53.1,22,female,sedentary,maintain
182,71.4,15,male,sedentary,cut
153,57.5,21,female,active,maintain
182,73.0,23,male,moderate,cut
195,99.6,30,female,moderate,cut
170,76.6,24,male,light,maintain
169,79.2,27,female,active,maintain
156,65.1,24,male,light,gain
171,61.8,29,female,very_active,gain
164,58.2,26,male,active,maintain
175,82.5,25,female,sedentary,maintain
169,65.1,24,female,light,gain
179,87.3,26,female,light,gain
166,78.6,23,female,light,gain
167,53.5,30,female,very_active,cut
185,85.1,19,male,sedentary,cut
150,46.8,14,male,very_active,maintain
150,56.5,15,female,light,cut
152,61.0,26,male,moderate,cut
165,57.0,20,female,light,gain
174,66.3,25,male,sedentary,maintain
180,83.0,13,male,moderate,maintain
188,72.9,17,male,moderate,cut
179,92.6,22,female,sedentary,gain
174,75.0,26,male,very_active,gain
191,99.9,27,male,active,maintain
195,79.4,25,male,very_active,gain
177,60.6,23,female,active,maintain
174,62.6,30,female,active,cut
195,86.3,20,male,very_active,gain
193,91.1,19,male,light,gain
193,103.4,18,female,moderate,cut
191,76.3,19,male,moderate,gain
190,80.2,20,male,sedentary,maintain
150,58.3,13,female,very_active,maintain
195,101.0,18,male,very_active,cut
174,62.3,30,male,moderate,cut
180,67.4,13,male,active,maintain
181,91.4,28,male,sedentary,cut
168,53.5,14,male,sedentary,gain
172,69.2,28,female,active,gain
178,60.7,27,female,moderate,maintain
163,44.5,14,male,light,maintain
155,62.2,29,male,active,maintain
157,60.2,23,male,light,gain
183,85.2,28,male,moderate,maintain
187,92.5,19,female,sedentary,cut
176,59.8,23,female,very_active,cut
165,61.1,24,female,very_active,gain
193,97.4,19,male,very_active,maintain
160,52.9,20,female,light,gain
183,80.1,16,male,very_active,gain
153,55.1,18,male,moderate,cut
155,50.9,27,female,very_active,maintain
189,68.7,17,female,sedentary,gain
161,67.4,16,female,moderate,maintain
175,78.7,28,female,active,cut
153,59.6,30,female,light,gain
173,69.7,29,male,moderate,gain
145,46.9,15,male,light,gain
176,72.1,20,male,active,gain
152,45.6,23,female,moderate,gain
157,71.1,23,female,very_active,gain
156,43.6,13,female,sedentary,gain
178,75.1,20,male,very_active,gain
176,74.6,13,male,light,cut
154,55.1,20,male,sedentary,gain
150,54.8,28,male,sedentary,gain
178,64.2,21,female,sedentary,maintain
183,63.3,13,male,sedentary,gain
183,84.3,22,male,sedentary,gain
186,71.7,22,male,light,gain
179,67.8,24,female,sedentary,maintain
187,68.5,25,female,moderate,maintain
190,93.2,20,female,sedentary,gain
166,72.5,29,female,very_active,gain
190,85.4,15,male,light,maintain
163,48.1,17,male,sedentary,cut
158,54.0,27,female,active,cut
160,46.2,13,female,active,gain
167,62.8,21,female,moderate,maintain
183,94.0,20,female,moderate,cut
158,60.6,20,male,light,cut
188,80.0,15,female,active,cut
191,84.9,30,female,sedentary,maintain
153,49.4,17,female,sedentary,maintain
152,63.4,25,male,very_active,maintain
162,57.1,28,female,sedentary,cut
186,86.4,28,female,very_active,maintain
162,45.0,16,female,sedentary,gain
150,53.0,19,female,active,maintain
156,43.1,13,female,light,cut
175,61.9,16,male,very_active,cut
164,54.3,27,female,moderate,gain
181,79.7,26,male,sedentary,maintain
187,101.1,27,female,light,gain
158,65.4,26,male,very_active,maintain
171,60.7,13,female,sedentary,gain
183,73.9,30,female,moderate,maintain
178,74.7,19,female,sedentary,cut
174,71.8,19,male,sedentary,maintain
151,67.2,27,female,light,maintain
193,74.9,24,female,sedentary,cut
182,89.9,18,female,active,cut
189,73.5,22,female,very_active,maintain
150,54.5,25,female,active,gain
177,86.0,26,female,active,maintain
173,76.5,13,male,active,cut
188,85.7,17,male,very_active,gain
189,78.6,21,female,very_active,maintain
185,76.0,21,female,moderate,gain
170,59.1,22,female,active,maintain
192,102.9,30,male,sedentary,gain
155,44.3,13,male,sedentary,maintain
152,54.9,25,male,moderate,cut
190,97.0,24,male,light,maintain
175,82.8,26,male,moderate,maintain
167,48.5,14,male,very_active,cut
158,74.2,30,female,very_active,maintain
154,53.6,14,male,active,maintain
165,67.6,14,female,active,cut
155,69.3,22,female,sedentary,maintain
152,54.3,26,female,sedentary,gain
160,66.0,18,male,light,cut
151,57.7,24,male,light,maintain
182,81.6,15,male,moderate,cut
153,45.2,30,female,moderate,maintain
190,88.7,14,male,moderate,cut
189,74.3,17,male,active,maintain
170,67.3,22,female,active,maintain
195,88.0,18,female,sedentary,gain
178,52.4,13,female,sedentary,maintain
185,82.0,27,female,sedentary,cut
186,83.5,29,male,light,gain
159,70.7,19,female,light,gain
168,68.9,19,female,light,cut
169,62.0,30,male,moderate,maintain
143,42.7,14,male,sedentary,cut
162,60.4,25,male,very_active,cut
163,52.7,16,female,very_active,gain
156,63.4,25,female,light,maintain
181,81.0,16,male,sedentary,gain
151,44.7,29,female,active,maintain
165,75.0,29,female,moderate,maintain
169,68.5,27,male,sedentary,gain
150,47.3,14,male,light,gain
191,73.0,18,female,light,maintain
195,77.4,30,male,moderate,gain
178,64.5,13,male,moderate,maintain
164,58.0,14,female,sedentary,maintain
156,61.9,20,female,moderate,maintain
160,52.9,25,male,sedentary,cut
173,79.8,18,female,active,maintain
193,90.9,19,male,very_active,cut
170,60.5,19,female,very_active,cut
180,79.9,24,male,light,maintain
164,55.4,17,male,very_active,maintain
150,62.9,21,female,sedentary,maintain
176,62.2,22,male,sedentary,gain
166,66.3,21,male,active,gain
186,73.6,25,male,very_active,maintain
161,63.9,30,male,moderate,cut
183,81.1,29,female,very_active,maintain
190,95.9,27,female,light,maintain
178,84.1,18,male,active,cut
175,65.8,26,female,very_active,maintain
159,44.9,13,male,light,gain
143,40.4,16,female,active,cut
142,36.4,17,male,moderate,cut
162,50.0,21,female,light,cut
195,107.9,19,female,light,gain
180,95.0,26,female,moderate,cut
190,97.9,20,female,active,cut
179,92.1,29,female,active,cut
191,101.1,18,female,sedentary,maintain
180,66.3,19,female,moderate,maintain
152,59.0,14,male,active,maintain
163,65.0,22,male,light,maintain
189,98.2,18,female,light,cut
181,64.8,14,male,very_active,maintain
157,49.4,19,female,light,cut
155,52.7,16,female,moderate,gain
183,82.8,27,male,active,maintain
174,79.2,22,female,moderate,gain
167,71.3,20,female,sedentary,gain
